icao24,callsign,origin_country,longitude,latitude,baro_altitude,true_track,velocity_kmh,origin_country
aa8075,ENY4309 ,United States,-87.5362,38.7651,9563.1,171.41,855.9720000000001,United States
3455da,VOE5PN  ,Spain,11.2798,42.1487,11574.78,311.78,769.932,Spain
ac7150,N900XY  ,United States,-80.5027,27.2571,11452.86,338.54,632.808,United States
aae1df,N800AB  ,United States,-106.2927,39.5529,5699.76,265.75,724.284,United States
ad9d88,N9769F  ,United States,-106.949,32.2607,1638.3,62.56,217.008,United States
4acb45,SAS4434 ,Sweden,11.443,61.7043,10088.88,3.94,835.3800000000001,Sweden
ae74cd,SALTY11 ,United States,10.3085,49.3935,548.64,185.12,124.596,United States
a69b92,ASA10   ,United States,-100.1889,44.2919,10759.44,99.92,945.72,United States
4acb44,SAS49N  ,Sweden,11.5907,54.0794,10622.28,192.59,764.748,Sweden
a4b294,RPA4455 ,United States,-84.1788,33.6751,3596.64,210.66,660.96,United States
a94b4d,UAL2356 ,United States,-118.8398,37.5967,10972.8,275.02,762.228,United States
adda25,AVA9557 ,United States,-74.1752,4.7151,2499.36,127.0,320.04,United States
a94b4b,UAL2030 ,United States,-100.9666,38.1527,9448.8,140.7,909.3960000000001,United States
4b187b,SWR242  ,Switzerland,53.2991,26.1919,9525.0,114.15,728.676,Switzerland
c082f6,N723MG  ,Canada,-78.7174,42.9537,548.64,303.0,170.028,Canada
a88bf4,,United States,-106.4119,44.2051,2674.62,308.35,316.44000000000005,United States
a9a210,N72JW   ,United States,-98.5622,44.2683,10668.0,125.93,747.936,United States
a27d22,,United States,-78.4664,25.6023,13106.4,289.64,721.692,United States
ab649a,DAL175  ,United States,-71.4958,42.303,10363.2,261.5,764.028,United States
ae1445,PUMA91  ,United States,-110.7871,31.9102,1706.88,82.5,354.92400000000004,United States
4b187a,SWR18P  ,Switzerland,-9.039,48.0077,10972.8,272.18,826.5960000000001,Switzerland
4b1884,SWR66C  ,Switzerland,-77.6749,33.327,12192.0,196.34,914.832,Switzerland
3455d8,VOE3EV  ,Spain,1.5434,48.1477,3870.96,11.21,638.172,Spain
4b1885,SWR22D  ,Switzerland,-58.6826,45.8863,11993.88,248.27,815.4,Switzerland
3c65c3,DLH851  ,Germany,8.7252,50.0731,731.52,249.65,298.26,Germany
3c65c1,DLH3KV  ,Germany,10.6707,49.2109,7589.52,307.65,839.772,Germany
